	water	octanol	hexadecane	chloroform	cyclohexane	carbontet	benzene	diethylether	heptane	hexane	toluene	xylene	dichloroethane	decane	chlorobenzene	octane	isooctane	ethylbenzene	decalin	bromobenzene	nonane	pentane	ethylacetate	diisopropylether	butylacetate	pentanol	butanol	iodobenzene	isopropylbenzene	isobutanol	tributylphosphate	carbondisulfide	dibutylether	perfluorobenzene	nitrobenzene	hexanol	tbutylbenzene	4methyl2pentanone	undecane	butanone	heptanol	bromoform	chlorohexane	decanol	odichlorobenzene	methylenechloride	trimethylbenzene	butylbenzene	benzylalcohol	aniline	cyclohexanone	nonanol	dibromoethane	tetrachloroethene	secbutanol	tetralin	hexadecyliodide	pentadecane	acetophenone	anisole	dodecane	ethanol	pyridine	benzonitrile	bromoethane	propanol	ethoxybenzene	fluorobenzene	nitromethane	nitroethane	tetrahydrothiophenedioxide	methylformamide	triethylamine	mesitylene	mcresol	isopropanol	dimethylacetamide	dimethylformamide	acetonitrile	dimethylsulfoxide	aceticacid	tetrahydrofuran	2methylpyridine	phenylether	onitrotoluene	methoxyethanol	isopropyltoluene	dimethylpyridine	fluoroctane	secbutylbenzene	bromooctane
ethanol	-5.01	-4.36	-2.03	-3.94	-2.42	-2.96	-3.42	-4.41	-2.15	-2.73	-3.33	-3.42	-2.83	-2.44	-3.3	-2.15	-2.44	-2.49		-3.26	-2.15	-2.15	-4.24	-3.9	-3.97		-5.02	-3.18	-2.9		-4.57	-2.72	-3.51							-4.46		-3.24			-2.34	-3.82			-4.84	-4.45	-4.41		-2.69			-1.54			-4.12	-3.59	-2.06	-5.04	-5.08	-4.05		-5.01	-3.45	-3.45	-4.16	-3.98	-4.3	-5.12	-4.02		-5.58	-4.84	-5.4	-5.23	-4.43	-5.25	-5.25	-4.56	-5.01	-3.22		-4.71		-4.87			
toluene	-0.89	-4.55	-4.54	-5.48	-4.9	-5.12	-5.32	-5.23	-4.78	-4.84	-5.12	-5.06		-4.65	-5.18	-4.82	-4.68		-4.37	-5.13			-5.05	-4.91		-4.25	-4.5	-4.99				-5.39	-4.87			-4.27			-4.81	-5.06	-4.33					-5.53			-4.46	-4.57	-5.05	-4.34					-4.41		-4.9	-4.95		-4.57	-5.1	-4.95	-5.55	-4.47	-4.99	-5.27	-4.52	-4.88	-4.23	-4.34	-4.98		-4.58	-4.38	-4.94	-4.88	-4.68	-4.42	-4.53	-5.5	-5.06	-4.86		-4.49		-5.03			
2-butanone	-3.64	-3.78	-3.12	-5.43	-3.48	-4.09	-4.46	-4.09	-3.36	-3.48	-4.27	-4.23		-3.3	-4.47	-3.24	-3.4	-4.12		-4.37	-3.2			-3.96			-4.12	-4.22	-4.02			-3.85	-3.78				-3.94			-4.5			-4.1				-3.97		-4.57	-4.87	-4.42					-3.12			-4.39	-4.43		-4.32	-4.61	-4.58	-5.13	-4.15	-4.28	-4.6	-4.72	-4.73	-4.09	-4.34	-3.86	-3.95	-5.98	-4.07	-4.52	-4.56	-4.73	-4.23	-4.8	-4.54	-4.52	-4.08		-4.28		-4.34			
n-octane	2.89	-4.18	-5.02	-5.25	-5.63	-5.39	-5.35	-5.62		-5.46	-5.38	-5.29		-5.18	-5.16	-5.28	-5.44			-5.02			-4.72	-5.38			-4.45	-4.72				-5.68	-5.24							-4.64						-5.18			-3.77	-3.48	-4.57								-4.24	-4.62		-4.23	-4.5	-4.34	-5.54	-4.39	-4.75	-4.99	-3.15	-3.89	-2.44	-3.34	-5.62		-4.02	-4.5	-3.94	-3.77	-3.57	-2.84	-3.93	-5.39	-4.73	-4.38		-3.71		-4.88			
nitromethane	-3.95	-3.51	-2.58	-4.68	-2.86	-3.52	-4.5	-4.19		-2.9	-4.31	-4.2		-2.81	-4.32		-2.82			-4.25			-5.06	-3.9			-3.93	-4.1				-3.3	-3.67	-4.3	-4.9					-5.24						-5.05			-4.53	-5.11	-5.09								-4.92	-4.69		-4.34	-5.11	-5.05	-4.54	-4.04	-4.45	-4.62	-5.38	-5.35	-5.28	-5.11	-3.63		-4.73	-4.0	-5.62	-5.66	-5.62	-5.66	-4.88	-5.09		-4.19		-5.06					
"1,4-dioxane"	-5.05	-4.89	-3.82	-6.21	-4.17	-4.97	-5.21	-4.67		-4.08	-4.91	-4.86		-3.97	-5.08		-4.02			-5.02			-5.03	-4.42				-4.94				-4.67	-4.37							-5.02						-5.33			-5.39	-5.65	-4.95								-5.03	-5.06		-4.68	-5.14	-5.14	-5.39	-4.61	-4.87	-5.18	-5.46	-5.28	-4.9	-4.86	-4.41		-6.82	-4.49	-5.01	-5.03	-5.33	-4.9	-5.8	-5.17	-5.01	-4.83		-4.91		-4.9			
phenol	-6.62	-8.69	-5.14	-7.14	-5.57	-6.14	-7.12	-8.75	-5.32	-5.49	-6.93	-6.83	-7.48	-5.5	-6.96	-5.47	-5.3	-6.82	-5.38	-6.87	-5.6	-5.67	-8.7	-8.35	-8.96	-8.55		-6.76				-6.27			-7.86	-8.76		-9.38			-8.69	-6.88		-8.58		-7.5		-6.76				-8.61	-7.22	-6.1																				-6.8											-7.79						
aceticacid	-6.7	-6.35	-2.39	-4.74	-1.73	-3.64	-4.02	-6.26		-2.83	-4.0	-4.08	-4.89						-4.49				-6.46	-5.73	-6.11	-6.65	-6.81			-6.8	-7.11	-2.98	-5.21		-4.78	-6.51		-6.33		-6.88	-6.7	-4.54							-6.96	-6.3	-6.43				-6.81				-6.2																						-5.3				-4.68						
ethylacetate	-3.1	-4.06	-3.25	-5.58	-3.56	-4.4	-4.53		-3.5	-3.62	-4.41	-4.26	-4.93	-3.43	-4.63	-3.48		-4.31	-3.47	-4.57	-3.45	-3.69	-4.46						-4.22	-4.27		-4.08		-4.56			-4.22						-4.25											-4.22				-3.37																															-4.16	-4.11	-3.97
methylacetate	-3.32	-3.54	-2.67	-4.9	-3.06	-3.82	-4.04		-2.97	-3.12	-3.81	-3.7	-4.55	-2.98	-4.0	-3.06		-3.74	-2.9	-3.87	-3.02	-3.13										-3.67		-4.23			-3.57						-3.66				-3.58							-3.63				-2.82																													-3.32		-3.59	-3.91	-3.35
butylacetate	-2.55	-4.96	-4.61	-6.71	-4.94	-5.59	-5.78		-4.83	-4.86	-5.57	-5.4	-5.93	-4.66	-5.74	-4.8		-5.48	-4.71	-5.58	-4.69	-4.88			-5.52				-5.36					-5.52			-5.25						-5.37					-5.28						-5.35				-4.49																															-5.22	-5.22	-5.11
propanoicacid	-6.47	-6.86	-3.12	-5.37	-3.78	-4.09	-4.75	-6.75	-4.06	-2.98	-4.57	-4.72	-5.12		-4.38				-4.42				-6.95	-6.37		-7.09	-7.17		-4.23	-6.98	-7.73		-6.11		-5.38			-6.85		-7.05										-6.2	-7.18				-7.0										-5.52																				-5.3						
butylamine	-4.29	-5.33				-5.35		-4.24	-3.55	-3.62	-4.33		-4.34	-3.55		-3.44	-3.57	-4.43	-3.72	-4.22	-3.55					-5.55		-4.19	-4.06					-4.13		-5.5			-3.55		-5.4			-5.22	-4.13				-5.15			-5.35		-4.49	-5.52					-4.44											-4.25																-4.22				
propylacetate	-2.86	-4.55	-3.93	-6.35	-4.36	-5.03	-5.21		-4.09	-4.1	-5.0	-4.87	-5.4	-4.02	-5.15	-4.09		-4.95	-4.05	-4.93	-4.07	-4.21							-4.78			-4.63		-5.06			-4.72						-4.84											-4.8				-3.91																															-4.65	-4.62	-4.48
1-hexanol	-4.36	-7.06	-4.92	-6.67	-5.31	-5.04	-6.13	-6.82	-4.89	-5.14	-6.12	-5.85	-6.02	-4.97	-5.98	-4.86	-5.1	-5.68		-5.92	-4.97	-4.97	-6.92		-6.62			-5.71			-7.68					-7.05						-6.2			-5.7								-6.08								-4.28																														
1-pentanol	-4.47	-6.4	-4.24	-5.9	-3.61	-4.73	-5.1	-6.11	-4.09	-4.38	-5.17	-4.72	-5.45	-3.92	-5.25	-4.1	-4.17	-4.72		-5.06	-3.92	-3.92	-6.13		-5.78	-7.92		-5.02			-6.69											-5.34			-4.93								-5.44								-4.09																														
1-butanol	-4.72	-5.71	-3.55	-5.28	-3.52	-4.2	-4.45	-5.69	-3.66	-3.77	-4.31	-4.17	-4.92	-3.77	-4.31	-3.69	-3.56	-3.77		-4.08	-3.77	-3.77	-5.77		-5.23		-6.03	-4.05			-6.28											-4.72			-3.9								-4.65								-3.47																														
1-propanol	-4.83	-5.02	-2.77	-4.41	-2.73	-3.64	-3.87	-4.9	-3.01	-2.81	-3.71	-3.57	-3.85	-2.76	-3.82	-2.76	-3.0	-3.71		-3.74	-2.76	-2.76	-4.9		-4.52			-3.52			-5.42											-4.03			-3.47								-3.82								-2.74					-5.29																									
methanol	-5.11	-3.87	-1.32	-3.32	-1.29	-2.25	-2.58	-3.61	-1.29	-1.49	-2.18	-1.73	-2.53	-1.29	-2.44	-1.29		-1.43		-2.31	-1.29	-1.29	-3.37		-3.04		-4.73	-2.18			-4.16				-2.93							-2.79			-1.73								-2.38																																						
methylpentanoate	-2.57	-5.13	-4.69	-6.68	-5.04	-5.71	-5.83		-4.92	-4.94	-5.65	-5.61	-5.97	-4.77	-5.83	-4.86		-5.56	-4.83		-4.85	-4.96							-5.45					-5.59			-5.39						-5.41				-5.41	-5.37						-5.41				-4.59																													-5.33		-5.33		
ethylamine	-4.5	-4.09	-2.29	-4.02	-2.04	-2.77	-2.73	-2.89	-2.09	-2.09	-2.67	-3.01	-3.19	-1.92	-2.73	-2.04		-2.59		-2.73	-1.98	-2.18				-4.27	-4.5	-2.73			-3.29					-4.2					-4.15			-3.91	-2.59							-4.02																																							
1-heptanol	-4.24	-7.75	-5.62	-7.53	-6.02	-6.49	-6.85	-7.51	-5.6	-5.75	-6.75	-6.74	-6.79	-5.62	-6.78	-5.56		-6.7		-6.68	-5.62	-5.62	-7.56		-7.14			-6.53			-7.98										-7.84	-7.1			-6.5								-6.64								-5.41																														
methylpropanoate	-2.93	-4.06	-2.68	-5.48	-3.71	-4.43	-4.58		-3.63	-3.65	-4.62	-4.2	-4.87	-3.49	-4.55	-3.57		-4.29	-3.5		-3.5	-3.69							-4.19								-4.17						-4.2				-4.14	-4.19						-4.39				-3.35																													-4.14		-4.09		
propylamine	-4.39	-4.77	-2.92	-4.73		-3.59	-3.68	-3.65	-3.03	-3.13	-3.51	-3.69	-4.04	-2.96	-3.59	-3.0		-3.44		-3.57	-2.96	-3.13				-4.88	-5.04	-3.54			-3.98					-4.83					-4.8			-4.59	-3.44							-4.66																																							
pentylacetate	-2.45		-5.2	-7.36	-5.71	-6.35	-6.53		-5.42	-5.52	-6.41	-6.19	-6.64	-5.31	-6.49	-5.36		-6.2	-5.44	-6.35	-5.33	-5.62							-6.13					-6.16			-5.92										-6.09											-5.18																													-6.02			-5.98	-5.81
p-cresol	-6.14	-8.84	-5.88	-7.59	-5.89	-6.32	-7.35		-5.77	-5.86	-7.56	-7.18	-7.75	-6.0	-7.23	-6.19	-5.59		-5.68	-7.12					-9.28	-9.25		-7.01							-8.13	-9.21					-9.16			-8.91		-7.71							-7.52																																						
o-cresol	-5.87	-8.49	-5.78	-7.55	-6.02	-6.51	-7.44		-6.01	-6.25	-7.43	-7.25	-7.73		-7.33	-6.16	-5.68	-7.25		-7.26	-6.2				-8.9	-8.57		-7.14							-8.16	-8.76					-8.78	-7.45		-8.58																																															
aniline	-5.49	-6.71	-5.44	-7.34	-5.52	-6.1	-6.88	-6.51	-5.38	-5.43	-6.69	-6.1	-7.39		-6.72	-4.84	-5.2		-5.78	-6.66		-5.15		-6.67	-7.3	-6.44					-7.6				-7.15			-7.54												-7.61																																									
2-hexanone	-3.29	-5.02	-4.45		-4.77	-5.47	-5.76		-4.55	-4.68	-5.6	-5.49		-4.61	-5.84	-4.6	-4.72	-5.49			-4.59	-4.79							-5.39					-5.55			-5.27						-5.42				-5.39	-5.31								-4.64																		-5.34																	
p-bromophenol	-7.13	-10.59		-8.59	-7.14	-7.86	-8.81			-6.96	-8.7	-8.69	-9.1		-8.54			-8.54		-8.49					-10.57	-10.62		-8.45							-9.76	-10.51					-10.49	-8.49		-10.32		-9.09						-10.36	-9.01																																-9.57						
2-pentanone	-3.53	-4.35	-3.76		-4.19	-4.81	-5.14		-4.07		-5.02	-4.87		-3.93	-5.29	-3.97	-4.14	-4.85			-3.97	-4.16							-4.84					-5.1			-4.72						-4.84				-4.83	-4.74								-3.99																		-4.8																	
butanoicacid	-6.36	-7.58	-3.86	-5.99		-4.81	-5.3	-7.32	-5.05		-5.24	-5.3	-5.83										-7.34	-6.85		-7.74	-7.66		-4.93	-7.62	-8.29				-5.84			-7.44		-7.34															-7.34																														-5.76						
methylhexanoate	-2.49		-5.43	-7.24	-5.75	-6.39	-6.47		-5.63	-5.64	-6.38	-6.26	-6.57	-5.48		-5.53			-5.51		-5.51	-5.67							-6.19					-6.21			-6.13										-6.16	-6.09										-5.35																													-6.06				
2-heptanone	-3.04	-5.65	-5.13		-5.47	-6.12	-6.36		-5.22	-5.36	-6.3	-6.15		-5.18	-6.46	-5.25		-6.1			-5.24	-5.4							-5.99					-6.15			-5.88										-6.01	-5.93								-5.33																		-5.99																	
"3,3-dimethylbutanone"	-2.89	-4.53	-3.94		-4.42				-4.3	-4.34	-5.0	-4.91		-4.15	-5.25	-4.21		-4.92			-4.19	-4.43							-4.81					-5.26			-4.79						-4.98				-4.8	-4.77								-4.19																		-4.77																	
acetone	-3.85	-3.15	-2.31	-4.42	-2.67	-3.35	-3.79		-2.61	-2.6	-3.59	-3.26		-2.47	-3.86	-2.46	-2.44	-3.41											-3.32			-3.14		-3.82									-3.45											-3.09		-2.54																																			
water	-6.31	-4.43	-0.35	-2.05	-0.39	-0.85	-1.71	-3.85			-1.69	-1.56						-1.51					-4.26	-3.58	-4.13				-1.41		-4.69															-2.63									-5.71	0.07																																			
benzene	-0.87	-3.72	-3.8	-4.64	-4.19	-4.5	-4.55	-4.21	-4.0	-3.96				-3.8			-4.01									-3.53	-3.39									-3.68			-4.05		-3.73											-3.82					-3.71																																		
m-cresol	-5.49	-8.2	-5.91	-6.7	-5.2		-6.66	-7.95	-5.01			-6.32	-6.91			-5.19			-5.11						-8.44			-6.04							-7.29	-8.42		-8.79						-8.01																															-8.4																
pyridine	-4.7	-5.34	-4.1	-6.45	-4.3	-5.01	-5.28	-4.81	-4.28	-3.81	-5.13	-5.12	-5.53											-4.88	-5.31					-5.87			-4.65					-5.33																									-5.47																												
pentanoicacid	-6.16	-8.22	-4.61	-6.61			-6.01	-7.87	-5.23		-5.89	-5.71	-6.47											-7.59		-8.17	-8.02			-8.06	-8.82				-6.47					-7.54															-7.61																																				
diethylamine	-4.07	-4.75	-3.27	-5.23	-3.61	-4.12	-4.02	-3.83			-3.75	-3.93	-4.0			-3.42								-3.78		-5.3	-5.15			-4.86			-3.8					-3.63																																																					
hexanoicacid	-6.21	-8.82	-5.35	-7.51		-6.99	-6.94	-8.85	-6.54		-6.97	-6.67	-7.33											-8.23		-8.99	-8.75			-8.77					-7.26					-8.07															-8.11																																				
hydrogenperoxide	-8.58			-4.7		-3.14	-4.77	-7.03			-3.14												-7.6	-6.72	-6.76	-7.46	-7.94			-7.93		-3.14	-5.75		-5.45															-7.8	-9.11								-7.3																																
4-methylaniline	-5.55	-7.44	-6.04	-8.01	-6.3	-7.24	-7.59		-6.15	-6.18	-7.39	-7.17		-6.05	-7.54	-6.0				-7.59			-7.63		-7.81																																																																		
ethylbenzene	-0.8	-5.08	-5.15	-5.84	-4.97	-5.67		-5.45		-4.99				-5.25				-5.67								-4.48	-4.46									-4.54			-5.44		-4.58											-4.61																																							
chlorobenzene	-1.12	-5.0	-4.99	-5.45	-5.1	-5.21		-5.42	-5.15	-5.14				-4.93	-5.66				-4.61																				-5.12					-4.83																		-3.3																													
trimethylamine	-3.23	-3.6	-2.21	-3.9	-2.63	-3.09	-2.8	-2.78			-2.71	-2.63			-2.82			-2.64						-2.74						-3.9								-2.86																																																					
acetophenone	-4.58	-6.74	-6.14	-7.81	-6.29	-7.1		-6.79	-6.14	-6.05			-7.83						-6.23																																								-7.59		-6.11																														
bromobenzene	-1.46	-5.46	-5.51	-6.07	-5.29	-5.85		-5.99	-5.72	-5.66				-5.43					-5.25	-6.25																																																																							
methylamine	-4.56	-3.78		-3.17		-2.53	-2.66	-2.32			-2.65	-3.2			-2.16											-3.95				-4.56								-4.14																																																					
nitrobenzene	-4.12	-6.63	-6.22	-7.78	-6.62	-6.92	-7.6	-6.85	-6.14	-6.09									-6.36																-7.94																																																								
naphthalene	-2.39	-6.97	-7.29	-7.89	-7.17	-7.55		-7.25	-7.02															-7.24	-7.59													-7.45																																																					
fluorobenzene	-0.78	-3.87	-4.03	-4.25	-3.59	-3.64			-4.13	-4.15				-3.48					-3.44																																																	-4.6																							
dimethylamine	-4.29		-2.18	-3.69		-2.75	-3.01	-2.63			-2.68	-3.36			-2.75															-4.43																																																													
benzaldehyde	-4.02	-6.13	-5.44	-7.09	-5.71	-6.11		-6.08	-5.5	-5.53			-7.23																																																																														
m-xylene	-0.84	-5.25	-5.24	-5.86	-5.52	-5.71		-5.56	-5.67	-4.99							-5.12																																																																										
anisole	-2.45	-5.47	-5.35	-6.24	-5.38	-5.49		-5.71	-5.35										-5.0																																									-6.33																															
ammonia	-4.29		-0.93	-2.41		-1.06	-1.12	-1.41			-2.38				-1.22											-3.13												-2.52																																																					
methylbenzoate	-3.91	-7.26	-6.31	-7.81	-7.01	-7.19	-6.27				-7.96						-6.71		-6.76																																																																								
benzonitrile	-4.1	-6.09	-5.51	-7.22	-5.54	-6.28		-6.36	-5.33										-5.86																																													-7.28																											
p-hydroxybenzaldehyde	-10.48	-12.36		-10.3	-7.19	-8.16	-9.73	-12.07		-9.18			-10.7											-11.63																																																																			
benzamide	-10.9	-11.77		-11.06	-8.72	-9.13	-9.93	-10.6	-7.26	-7.77			-10.9																																																																														
formaldehyde		-3.23	-0.99	0.12																				-1.04		-3.44	-3.49									-3.42				-1.77									-3.48						-2.86																																				
chloroform	-1.07	-3.81	-3.38	-4.13						-3.17							-3.06					-3.26																	-3.42																		-3.36																																		
isopropanol	-4.76	-4.62	-2.47	-4.28	-2.37	-3.15	-3.48	-4.44																																																																				-4.82															
"1,4-dichlorobenzene"	-1.01	-5.67	-6.02	-6.32	-5.89	-6.28		-6.18	-5.81	-5.69																																																																																	
triethylphosphate	-7.8	-8.88		-10.9	-7.6	-7.51	-8.58		-6.67	-6.78			-9.59																																																																														
trimethylphosphate	-8.7	-7.81		-9.74	-5.67	-7.24	-8.02		-5.59	-5.82			-8.55																																																																														
iodobenzene	-1.73	-6.18	-6.25	-6.6	-6.26	-6.5		-6.64	-6.27										-5.96																																																																								
1-nitropropane	-3.34	-4.44	-3.95		-4.06	-4.49					-5.25					-3.95	-3.94															-4.5																																																											
o-xylene	-0.9	-5.07	-5.37	-6.23	-5.54	-6.07		-5.58	-5.52	-5.22																																																																																	
2-methylaniline	-5.56	-7.36	-6.08	-8.23	-6.44	-7.16	-7.37		-6.28							-6.06																																																																											
2-methyl-1-nitrobenzene	-3.59	-6.8	-6.52	-8.3	-6.71	-7.49		-7.21																																																																													-8.04						
"1,2-ethanediol"	-9.3	-7.44	-2.81	-5.98				-6.2															-6.82		-6.27		-8.69																																																																
tripropylphosphate	-6.1	-8.65		-11.11	-7.71	-8.6	-9.34		-7.5	-7.24																																																																																	
n-pentane	2.33	-2.45	-2.95		-3.5		-2.99										-3.21					-3.35																																			-2.59																																		
acetonitrile	-3.89	-3.15	-2.37	-4.44	-1.87			-3.59	-2.06																																																																						-4.85												
2-methylpyridine	-4.63	-6.14	-4.68	-6.98	-5.05		-5.86																										-5.2																																																		-5.71								
t-butanol	-4.51	-4.78	-2.74	-4.48	-2.93	-3.4	-3.7	-4.8																																																																																			
dipropylamine	-3.66	-6.02	-4.57				-5.09	-4.96			-5.24	-5.35																		-5.87																																																													
bromoform	-1.98	-5.62	-5.16							-4.38												-4.83																	-4.84			-6.21																																																	
n-hexane	2.49	-3.01	-3.64				-3.62			-4.0							-3.08																																								-3.26																																		
cyclohexane	1.23	-3.46	-4.04	-4.45	-4.43		-4.05																																																		-3.66																																		
N-methylaniline	-4.68	-6.94	-6.19		-6.33	-6.58	-6.64												-6.41																																																																								
3-methylaniline	-5.67	-7.57			-6.47	-7.23	-7.61		-6.35							-6.15																																																																											
1-octanol	-4.09	-8.13	-6.3				-8.06	-7.25															-8.41		-8.17																																																																		
piperidine	-5.11	-6.27		-6.37			-5.03	-4.82				-5.15																		-6.17																																																													
ethylphenylether	-2.22	-5.65	-5.64	-7.16	-6.0																																																														-6.75																								
2-methoxyethanol	-6.77	-5.83						-5.12																							-6.14													-5.41								-5.61																																							
diethylether	-1.76	-2.89	-2.81	-4.32	-3.03			-3.39																																																																																			
5-bromouracil	-18.17	-17.88		-15.03				-17.01	-12.73														-17.93																																																																				
thioanisole	-2.73	-6.47		-5.98	-5.66	-5.66													-5.54																																																																								
trichloroethene	-0.39	-3.75	-4.08		-4.29									-3.84																									-3.87																																																				
"1,2-dichlorobenzene"	-1.36	-6.01	-6.16						-6.01																														-6.11						-6.89																																														
4-methylpyridine	-4.94	-6.6	-4.89	-7.5	-5.23		-6.17																																																																																				
"2,6-dimethylpyridine"	-4.6		-5.27	-7.74	-5.51		-6.39																																																																																	-6.04			
uracil	-16.59	-15.13		-14.28				-15.03															-15.43				-16.05																																																																
m-hydroxybenzaldehyde	-9.51	-11.39			-6.88		-9.29	-11.36					-10.11																																																																														
5-fluorouracil	-16.92	-15.71		-14.31				-15.56	-11.28														-16.1																																																																				
2-ethylpyrazine	-5.51	-6.4		-7.72												-5.51																	-5.87																																																										
acetamide	-9.71		-3.33	-7.05				-6.16						-2.85																																																																													
2-methylpyrazine	-5.57	-5.87		-6.99												-4.7																	-5.12																																																										
tetrahydropyran	-3.12	-4.21	-4.08	-5.84	-4.41																																																																																						
"1,1,1-trichloroethane"	-0.25	-3.69	-3.73		-4.08																																		-3.82																																																				
"2,2,2-trifluoroethanol"	-4.31	-4.81	-1.67	-3.03	-1.53																																																																																						
thiophene	-1.42	-3.89	-4.01	-5.83					-4.09																																																																																		
1-propanethiol	-1.05	-3.52	-3.66		-3.12												-3.78																																																																										
allylalcohol	-5.08	-5.27	-2.73	-4.34				-4.87																																																																																			
thiophenol	-2.55	-5.99	-5.61	-7.61																																										-7.11																																													
3-methylpyridine	-4.77	-6.4	-4.91	-7.35	-5.14																																																																																						
nitroethane	-3.71	-3.93	-3.29							-3.19																																																												-5.53																					
n-heptane	2.62	-3.74	-4.33						-4.65																																																-3.9																																		
1-butene	1.38	-1.89	-2.03			-2.48											-2.26																																																																										
dichloromethane	-1.36	-3.07	-2.76																																											-3.8											-2.76																																		
hydrazine	-6.26	-3.44		-4.42			-4.02	-3.08																																																																																			
butanal	-3.18	-4.62	-3.1														-3.45													-4.82																																																													
g-butyrolactone		-6.83									-4.7																													-4.47																						-4.58							-5.45																						
tetrachloroethene	0.05	-4.24	-4.88																																				-4.63															-5.39																																					
urea	-13.8	-10.93	-6.37	-8.56				-9.11																																																																																			
p-xylene	-0.81	-5.19	-5.24						-5.52	-5.01																																																																																	
2-octanone	-2.88	-6.38	-5.81						-5.68																																																																																		
methylcyclohexane	1.71	-3.21	-4.43																																																						-4.07																																		
"N,N-dimethylformamide"		-6.14			-3.82			-5.31																																																																						-6.47													
anthracene	-4.23	-10.47	-10.32						-10.0																																																																																		
1-nitrobutane	-3.08	-5.11	-4.66							-4.64																																																																																	
tetrahydrofuran	-3.47	-3.93	-3.6																																																																															-4.25									
propanal	-3.44	-4.13	-2.48					-3.85																																																																																			
"E-1,2-dichloroethene"	-0.76	-3.61	-3.11																																				-3.6																																																				
3-pentanone	-3.41	-4.36	-3.83		-4.3																																																																																						
n-butane	2.08	-1.86	-2.2		-2.86																																																																																						
n-propane	1.96	-1.26	-1.43		-2.09																																																																																						
iodomethane	-0.89	-3.07	-2.88					-3.51																																																																																			
propene	1.27	-1.14	-1.29														-1.61																																																																										
fluorotrichloromethane	0.82	-2.63		-2.62	-2.63																																																																																						
acetaldehyde	-3.5		-1.68	-3.65				-2.85																																																																																			
bromoethane	-0.7	-2.9	-2.89																																																														-3.67																										
cyclopentanone	-4.68	-5.01	-4.39			-5.26																																																																																					
diethylsulfide	-1.43	-4.09	-4.23	-6.4																																																																																							
dimethyl4-nitrophenylthiophosphate	-7.62	-11.7		-9.51			-9.21																																																																																				
"1,1-dimethyl-3-phenylurea"	-9.63	-13.12		-13.64			-12.18																																																																																				
isopropylether	-0.53		-4.02	-3.78																				-3.97																																																																			
hydrogensulfide	-0.7		-0.72	-0.51				-0.6																																																																																			
difluorodichloromethane	1.69	-1.25		-1.55	-1.81																																																																																						
"N,N-dimethylacetamide"		-7.48		-8.38					-4.8																																																																				-6.77														
"1,2-dimethoxyethane"	-4.84	-4.55	-3.63																																																																																								
1-hexyne	0.29	-3.43	-3.42																																																																																								
1-pentyne	0.01	-2.79	-2.74																																																																																								
butanonitrile	-3.64	-4.25	-3.48																																																																																								
propionitrile	-3.85	-3.66	-2.84																																																																																								
hydrogen	2.33	1.76	1.64																																																																																								
3-bromopropene	-0.86	-3.3	-3.42																																																																																								
pentylamine	-4.1		-4.28									-4.7																																																																															
dimethylether	-1.92	-2.06	-1.49																																																																																								
quinoline		-8.43		-10.23	-7.38																																																																																						
methylbutanoate	-2.83	-4.59	-4.01																																																																																								
methylformate	-2.78	-2.82	-1.99																																																																																								
2-nitropropane	-3.14	-4.23	-3.47																																																																																								
bromotoluene	-2.37	-6.36	-6.36																																																																																								
pentanal	-3.03		-3.89														-4.24																																																																										
"3,5-dimethylpyridine"	-4.84		-2.52				-7.64																																																																																				
N-methyl-2-pyrrolidinone		-8.63		-9.82					-5.8																																																																																		
diethyl4-nitrophenylthiophosphonate	-6.27	-11.31					-8.58																																																																																				
"2,2-dichloroethenyldimethylphosphate"	-6.61	-8.59					-9.09																																																																																				
1-bromopentane	-0.08	-4.68	-4.93																																																																																								
1-bromobutane	-0.41	-4.16	-4.24																																																																																								
2-bromopropane	-0.48	-3.4	-3.26																																																																																								
1-bromopropane	-0.56	-3.42	-3.57																																																																																								
dibromomethane	-2.11	-4.18	-3.94																																																																																								
"Z-1,2-dichloroethene"	-1.17	-3.71	-3.33																																																																																								
2-chloropropane	-0.25	-2.84	-2.69																																																																																								
ethanethiol	-1.3		-2.96														-3.13																																																																										
1-chloropropane	-0.27	-3.06	-2.86																																																																																								
"1,1,2-trichloroethane"	-1.95	-4.53	-4.49																																																																																								
chloroethane	-0.63	-2.58	-2.29																																																																																								
"1,1,2-trichloro-1,2,2-trifluoroethane"	1.77	-2.54	-2.89																																																																																								
dimethyldisulfide	-1.83	-4.24	-4.84																																																																																								
1-hexene	1.68	-2.94	-3.51																																																																																								
propyne	-0.31	-1.59	-1.4																																																																																								
ethyne	-0.01	-0.51	-0.2																																																																																								
p-dibromobenzene	-2.3	-7.47							-7.55																																																																																		
"2,2-dimethylpropane"	2.5	-1.74	-2.48																																																																																								
pyrrole		-5.28		-5.5	-3.77																																																																																						
9-methyladenine	-13.6	-13.56		-12.51																																																																																							
"3,5-dibromo-4-hydroxybenzonitrile"	-9.0				-6.83					-9.67																																																																																	
1-decanol		-9.88	-7.68																																									-9.58																																															
